date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:54:15	21004/21004	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2021%20Aug%202019%2001:54:17%20GMT	https://coreui.io/demo/dark/google-maps.html	C:/Users/user/Downloads/coreuidark/coreuidark/coreui.io/demo/dark/google-maps.html	(from https://coreui.io/demo/dark/)
09:54:15	21004/21004	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2021%20Aug%202019%2001:54:17%20GMT	https://coreui.io/demo/dark/icons/coreui-icons.html	C:/Users/user/Downloads/coreuidark/coreuidark/coreui.io/demo/dark/icons/coreui-icons.html	(from https://coreui.io/demo/dark/)
09:54:15	21004/21004	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2021%20Aug%202019%2001:54:17%20GMT	https://coreui.io/demo/dark/icons/flags.html	C:/Users/user/Downloads/coreuidark/coreuidark/coreui.io/demo/dark/icons/flags.html	(from https://coreui.io/demo/dark/)
09:54:15	21004/21004	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2021%20Aug%202019%2001:54:18%20GMT	https://coreui.io/demo/dark/icons/font-awesome.html	C:/Users/user/Downloads/coreuidark/coreuidark/coreui.io/demo/dark/icons/font-awesome.html	(from https://coreui.io/demo/dark/)
09:54:15	21005/21005	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2021%20Aug%202019%2001:54:18%20GMT	https://coreui.io/demo/dark/icons/simple-line-icons.html	C:/Users/user/Downloads/coreuidark/coreuidark/coreui.io/demo/dark/icons/simple-line-icons.html	(from https://coreui.io/demo/dark/)
09:54:16	21004/21004	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2021%20Aug%202019%2001:54:18%20GMT	https://coreui.io/demo/dark/notifications/alerts.html	C:/Users/user/Downloads/coreuidark/coreuidark/coreui.io/demo/dark/notifications/alerts.html	(from https://coreui.io/demo/dark/)
09:54:16	21004/21004	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2021%20Aug%202019%2001:54:18%20GMT	https://coreui.io/demo/dark/notifications/badge.html	C:/Users/user/Downloads/coreuidark/coreuidark/coreui.io/demo/dark/notifications/badge.html	(from https://coreui.io/demo/dark/)
09:54:16	21004/21004	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2021%20Aug%202019%2001:54:19%20GMT	https://coreui.io/demo/dark/notifications/modals.html	C:/Users/user/Downloads/coreuidark/coreuidark/coreui.io/demo/dark/notifications/modals.html	(from https://coreui.io/demo/dark/)
09:54:16	21004/21004	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2021%20Aug%202019%2001:54:19%20GMT	https://coreui.io/demo/dark/notifications/toastr.html	C:/Users/user/Downloads/coreuidark/coreuidark/coreui.io/demo/dark/notifications/toastr.html	(from https://coreui.io/demo/dark/)
09:54:17	21004/21004	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2021%20Aug%202019%2001:54:19%20GMT	https://coreui.io/demo/dark/plugins/calendar.html	C:/Users/user/Downloads/coreuidark/coreuidark/coreui.io/demo/dark/plugins/calendar.html	(from https://coreui.io/demo/dark/)
